,report_date,bond,bond_yield
19034,2023-10-13,REPO,8.25
19022,2023-10-13,R2053,12.83
19010,2023-10-13,SATB12M,8.934
19011,2023-10-13,R186,9.315
19012,2023-10-13,R2030,10.705
19013,2023-10-13,R213,11.265
19014,2023-10-13,R2032,11.6
19015,2023-10-13,R2035,12.31
19016,2023-10-13,R209,12.37
19018,2023-10-13,R2040,12.85
19019,2023-10-13,R214,12.72
19020,2023-10-13,R2044,12.91
19021,2023-10-13,R2048,12.82
19017,2023-10-13,R2037,12.615
19023,2023-10-13,ZARGB2,9.108
19029,2023-10-13,ZARGB25,12.821
19024,2023-10-13,ZARGB3,9.282
19032,2023-10-13,SATB6M,9.07
19031,2023-10-13,SATB3M,8.69
19030,2023-10-13,ZARGB30,12.831
19033,2023-10-13,SATB9M,9.19
19028,2023-10-13,ZARGB20,12.89
19027,2023-10-13,ZARGB15,12.747
19026,2023-10-13,ZARGB10,11.972
19025,2023-10-13,ZARGB5,10.122
18999,2023-10-12,R2044,12.8
18989,2023-10-12,SATB12M,8.934
18990,2023-10-12,R186,9.245
18991,2023-10-12,R2030,10.645
18992,2023-10-12,R213,11.195
18993,2023-10-12,R2032,11.52
18994,2023-10-12,R2035,12.23
18995,2023-10-12,R209,12.285
18996,2023-10-12,R2037,12.515
18997,2023-10-12,R2040,12.74
18998,2023-10-12,R214,12.62
19007,2023-10-12,ZARGB20,12.78
19000,2023-10-12,R2048,12.71
19002,2023-10-12,ZARGB2,9.076
19003,2023-10-12,ZARGB3,9.217
19004,2023-10-12,ZARGB5,10.056
19005,2023-10-12,ZARGB10,11.892
19006,2023-10-12,ZARGB15,12.641
19008,2023-10-12,ZARGB25,12.711
19009,2023-10-12,ZARGB30,12.721
19001,2023-10-12,R2053,12.72
18972,2023-10-11,R2032,11.58
18976,2023-10-11,R2040,12.75
18975,2023-10-11,R2037,12.545
18974,2023-10-11,R209,12.31
18973,2023-10-11,R2035,12.25
18968,2023-10-11,SATB12M,8.934
18971,2023-10-11,R213,11.245
18970,2023-10-11,R2030,10.7
18969,2023-10-11,R186,9.25
18978,2023-10-11,R2044,12.825
18977,2023-10-11,R214,12.64
18986,2023-10-11,ZARGB20,12.805
18979,2023-10-11,R2048,12.73
18984,2023-10-11,ZARGB10,11.93
